lf2_over_Sfs,xm_over_lf,sqrt_h1_over_h2,h_over_wf,construction_y,construction_p,kn,outside_digitized_chart
3.0,0.1,0.8,2.0,2.6399921571381753,1.0185423971140874,0.0018516510195100207,False
3.0,0.1,1.0,0.5,2.6399921571381753,1.0661282416469935,0.0007519334282821829,False
3.0,0.1,1.0,0.6,2.6399921571381753,1.0661282416469935,0.0010382231974350783,False
3.0,0.1,1.0,0.8,2.6399921571381753,1.0661282416469935,0.0014506412082349672,False
3.0,0.1,1.0,1.0,2.6399921571381753,1.0661282416469935,0.0018666079223760585,False
3.0,0.1,1.0,2.0,2.6399921571381753,1.0661282416469935,0.002189510515693653,False
3.0,0.1,1.2,0.5,2.6399921571381753,1.1203873977109438,0.0008930072340484536,False
3.0,0.1,1.2,0.6,2.6399921571381753,1.1203873977109438,0.0012172784124461142,False
3.0,0.1,1.2,0.8,2.6399921571381753,1.1203873977109438,0.0017219369885547184,False
3.0,0.1,1.2,1.0,2.6399921571381753,1.1203873977109438,0.0022104793453500394,False
3.0,0.1,1.2,2.0,2.6399921571381753,1.1203873977109438,0.0025747505237477,False
3.0,0.1,1.4,0.5,2.6399921571381753,1.175532312537436,0.0010363840125973336,False
3.0,0.1,1.4,0.6,2.6399921571381753,1.175532312537436,0.0013992566313735387,False
3.0,0.1,1.4,0.8,2.6399921571381753,1.175532312537436,0.00199766156268718,False
3.0,0.1,1.4,1.0,2.6399921571381753,1.175532312537436,0.00256340680023959,False
3.0,0.1,1.4,2.0,2.6399921571381753,1.175532312537436,0.002966279419015795,False
3.0,0.1,1.6,0.5,2.6399921571381753,1.2356422701548144,0.0011997983564334804,False
3.0,0.1,1.6,0.6,2.6399921571381753,1.2356422701548144,0.001608312172557332,False
3.0,0.1,1.6,0.8,2.6399921571381753,1.2356422701548144,0.002298211350774072,False
3.0,0.1,1.6,1.0,2.6399921571381753,1.2356422701548144,0.0029374178479443683,False
3.0,0.1,1.6,2.0,2.6399921571381753,1.2356422701548144,0.003428702388253997,False
3.0,0.2,0.8,0.5,2.9672197640118,1.04563077516654,0.0006986400154330037,False
3.0,0.2,0.8,0.6,2.9672197640118,1.04563077516654,0.0009705815580495816,False
3.0,0.2,0.8,0.8,2.9672197640118,1.04563077516654,0.0013481538758326993,False
3.0,0.2,0.8,1.0,2.9672197640118,1.04563077516654,0.001737473883549201,False
3.0,0.2,0.8,2.0,2.9672197640118,1.04563077516654,0.002043978503682433,False
3.0,0.2,1.0,0.5,2.9672197640118,1.0991148955657057,0.0008376987284708348,False
3.0,0.2,1.0,0.6,2.9672197640118,1.0991148955657057,0.0011470791553668286,False
3.0,0.2,1.0,0.8,2.9672197640118,1.0991148955657057,0.0016155744778285283,False
3.0,0.2,1.0,1.0,2.9672197640118,1.0991148955657057,0.002074423842063945,False
3.0,0.2,1.0,2.0,2.9672197640118,1.0991148955657057,0.00242371575851651,False
3.0,0.2,1.2,0.5,2.9672197640118,1.160099485923762,0.0009962586634017815,False
3.0,0.2,1.2,0.6,2.9672197640118,1.160099485923762,0.001348328303548415,False
3.0,0.2,1.2,0.8,2.9672197640118,1.160099485923762,0.0019204974296188103,False
3.0,0.2,1.2,1.0,2.9672197640118,1.160099485923762,0.0024646367099120776,False
3.0,0.2,1.2,2.0,2.9672197640118,1.160099485923762,0.002856706350058711,False
3.0,0.2,1.4,0.5,2.9672197640118,1.2220796250372405,0.0011618229501042735,False
3.0,0.2,1.4,0.6,2.9672197640118,1.2220796250372405,0.001559486650134066,False
3.0,0.2,1.4,0.8,2.9672197640118,1.2220796250372405,0.0022303981251862027,False
